flight_date,registration,hour,position_count,avg_altitude,min_altitude
2025-02-27,N622FB,2,64,1889.4531250000000000,1700
2025-02-27,N624FB,2,1058,1744.0453686200378072,0
2025-02-27,N622FB,3,190,1818.8157894736842105,1700
2025-02-27,N624FB,3,693,1951.9841269841269841,0
2025-02-27,N622FB,4,94,1842.0212765957446809,0
2025-02-27,N624FB,4,1489,1824.1605104096709201,1525
2025-02-27,N624FB,5,62,1760.4838709677419355,0
2025-02-27,N624FB,22,686,1789.8688046647230321,0
2025-02-28,N624FB,2,1282,1994.0717628705148206,0
2025-02-28,N623FB,3,676,2055.6952662721893491,0
2025-02-28,N624FB,3,1262,1929.0610142630744849,0
2025-02-28,N623FB,4,1622,2059.3094944512946979,1525
2025-02-28,N623FB,5,235,1826.9148936170212766,0
2025-02-28,N624FB,5,1353,1886.0310421286031042,0
2025-02-28,N624FB,23,1499,2008.7224816544362909,0
2025-03-01,N624FB,0,786,1951.5903307888040712,0
2025-03-01,N624FB,2,1222,1922.8109656301145663,0
2025-03-01,N622FB,3,628,1779.2993630573248408,0
2025-03-01,N624FB,3,821,1878.1973203410475030,0
2025-03-01,N622FB,4,1470,1781.4625850340136054,1450
2025-03-01,N622FB,5,438,1772.0890410958904110,0
2025-03-01,N624FB,5,1400,1960.9642857142857143,0
2025-03-02,N624FB,2,1079,1996.8721037998146432,0
2025-03-02,N624FB,3,541,1711.2292051756007394,0
2025-03-02,N624FB,5,1228,1884.7516286644951140,0
2025-03-02,N623FB,22,785,1939.1719745222929936,0
2025-03-03,N623FB,0,571,1959.9387040280210158,0
2025-03-03,N623FB,1,333,1870.6456456456456456,0
2025-03-03,N623FB,2,523,2128.0592734225621415,0
2025-03-03,N622FB,3,477,1783.0188679245283019,0
2025-03-03,N623FB,3,1174,2003.1516183986371380,0
2025-03-03,N622FB,4,1115,1860.5381165919282511,1550
2025-03-03,N624FB,4,1,0.00000000000000000000,0
2025-03-03,N624FB,5,1278,1996.7918622848200313,0
2025-03-03,N623FB,23,1283,1812.2564302416212003,0
2025-03-04,N623FB,0,897,1730.9921962095875139,0
2025-03-04,N623FB,1,182,1815.1098901098901099,0
2025-03-04,N623FB,2,978,1927.3006134969325153,0
2025-03-04,N621FB,3,790,1700.9177215189873418,0
2025-03-04,N623FB,3,1369,1957.7794010226442659,0
2025-03-04,N621FB,4,1314,1883.8470319634703196,1575
2025-03-04,N623FB,4,35,1731.4285714285714286,0
2025-03-04,N621FB,5,245,1961.1224489795918367,0
2025-03-04,N623FB,5,1364,2308.7609970674486804,1650
2025-03-04,N623FB,23,1096,1692.4726277372262774,0
2025-03-05,N623FB,0,713,1670.1612903225806452,0
2025-03-05,N623FB,2,1390,1580.1258992805755396,0
2025-03-05,N622FB,3,688,1675.4723837209302326,0
2025-03-05,N623FB,3,671,1722.9508196721311475,0
2025-03-05,N622FB,4,1540,1690.8766233766233766,1375
2025-03-05,N623FB,4,6,1120.8333333333333333,0
2025-03-05,N622FB,5,66,1648.8636363636363636,0
